base_correct,cases,correct,delta_reader_tokens_vs_official_mem0_pct,delta_reader_visible_context_vs_official_mem0_pct,losses_vs_official_mem0,policy_name,reader_total_tokens,reader_visible_retrieved_context_tokens,tokens_per_correct,wins_vs_official_mem0
62,311,59,37.09338998931102,53.47868188620558,6,random_seed_22,95340,15854,1615.9322033898304,3
62,311,53,37.27483867562253,53.763314651251505,10,random_seed_23,95065,15757,1793.6792452830189,1
62,311,58,37.29463307776561,53.71049620000586,7,random_seed_24,95035,15775,1638.5344827586207,3
62,311,53,37.31574710671822,53.53150033745122,12,random_seed_25,95003,15836,1792.5094339622642,3
62,311,55,37.35071721717099,53.780920801666724,10,random_seed_26,94950,15751,1726.3636363636363,3
62,311,56,37.27615830243207,53.73397106722615,10,random_seed_27,95063,15767,1697.5535714285713,4
62,311,56,37.27549848902731,53.74277414243376,9,random_seed_28,95064,15764,1697.5714285714287,3
62,311,56,37.20687789493131,53.68408697438305,9,random_seed_29,95168,15784,1699.4285714285713,3
62,311,58,37.297932144789456,53.772117726459115,7,random_seed_30,95030,15754,1638.448275862069,3
62,311,58,37.42593594531466,53.88949206256052,8,random_seed_31,94836,15714,1635.103448275862,4
62,311,56,37.109225511025485,53.29088294844332,8,random_seed_32,95316,15918,1702.0714285714287,2
62,311,56,37.385027514218976,53.93350743859855,8,random_seed_33,94898,15699,1694.607142857143,2
62,311,54,37.50313411367265,54.20053405322926,11,random_seed_34,94719,15608,1754.0555555555557,3
62,311,57,37.172567597883315,53.48161624460812,8,random_seed_35,95220,15853,1670.5263157894738,3
62,311,57,37.313767666503914,54.02740690747968,8,random_seed_36,95006,15667,1666.7719298245613,3
62,311,54,37.150133942121165,53.39065113412952,10,random_seed_37,95254,15884,1763.962962962963,2
62,311,59,37.130339539978095,53.24393321400276,6,random_seed_38,95284,15934,1614.9830508474577,3
62,311,59,37.241188191979305,53.552040846268966,6,random_seed_39,95116,15829,1612.135593220339,3
62,311,56,37.35071721717099,53.75157721764137,8,random_seed_40,94950,15761,1695.5357142857142,2
62,311,57,37.17454703809763,53.502156753425865,9,random_seed_41,95217,15846,1670.4736842105262,4
62,311,55,37.4252761319099,54.0626192083101,10,random_seed_42,94837,15655,1724.3090909090909,3
62,311,58,37.167948904049936,53.364241908506706,6,random_seed_43,95227,15893,1641.844827586207,2
62,311,58,37.08679185526333,53.22045834678247,6,random_seed_44,95350,15942,1643.9655172413793,2
62,311,53,37.32168542736114,53.71049620000586,11,random_seed_45,94994,15775,1792.3396226415093,2
62,311,55,37.25306483326516,53.3554388332991,10,random_seed_46,95098,15896,1729.0545454545454,3
62,311,52,37.256363900288996,53.79852695208193,12,random_seed_47,95093,15745,1828.7115384615386,2
62,311,58,37.17388722469286,53.552040846268966,7,random_seed_48,95218,15829,1641.6896551724137,3
62,311,57,37.233930244526846,53.68408697438305,8,random_seed_49,95127,15784,1668.8947368421052,3
62,311,58,37.20885733514562,53.5461721294639,8,random_seed_50,95165,15831,1640.7758620689656,4
62,311,57,37.224033043455314,53.446403943777696,8,random_seed_51,95142,15865,1669.157894736842,3
62,311,56,37.3909658348619,53.97165409783151,8,random_seed_52,94889,15686,1694.4464285714287,2
62,311,56,37.14485543488302,53.29381730684586,8,random_seed_53,95262,15917,1701.107142857143,2
62,311,61,37.19500125364547,53.25273628921037,5,random_seed_54,95186,15931,1560.4262295081967,4
62,311,57,37.26956016838438,53.55497520467149,7,random_seed_55,95073,15828,1667.9473684210527,2
62,311,60,37.266261101360534,53.55497520467149,6,random_seed_56,95078,15828,1584.6333333333334,4
62,311,56,37.162670396811784,53.373044983714315,10,random_seed_57,95235,15890,1700.625,4
62,311,53,37.319046173742066,53.722233633616014,12,random_seed_58,94998,15771,1792.4150943396226,3
62,311,56,37.35797516462345,53.91590128818334,11,random_seed_59,94939,15705,1695.3392857142858,5
62,311,57,37.08679185526333,53.21165527157486,9,random_seed_60,95350,15945,1672.8070175438597,4
62,311,57,37.38634714102852,53.91883564658587,8,random_seed_61,94896,15704,1664.842105263158,3
62,311,54,37.34082001609945,53.9041638545732,9,random_seed_62,94965,15709,1758.611111111111,1
62,311,58,37.32102561395637,53.901229496170664,7,random_seed_63,94995,15710,1637.844827586207,3
62,311,56,37.30584990564668,53.780920801666724,9,random_seed_64,95018,15751,1696.75,3
62,311,57,37.17850591852624,53.39065113412952,8,random_seed_65,95211,15884,1670.3684210526317,3
62,311,58,37.28077699626546,53.53443469585375,6,random_seed_66,95056,15835,1638.896551724138,2
62,311,58,37.222713416645774,53.37597934211684,8,random_seed_67,95144,15889,1640.4137931034484,4
62,311,56,37.30584990564668,53.99219460664926,9,random_seed_68,95018,15679,1696.75,3
62,311,56,37.31442747990868,53.86601719534024,8,random_seed_69,95005,15722,1696.517857142857,2
62,311,54,37.35335647079006,53.91590128818334,10,random_seed_70,94946,15705,1758.2592592592594,2
62,311,57,37.183784425764394,53.68995569118812,7,random_seed_71,95203,15782,1670.2280701754387,2
62,311,59,37.157391889573624,53.607793655917135,6,random_seed_72,95243,15810,1614.2881355932204,3
62,311,57,37.351377030575755,54.02740690747968,8,random_seed_73,94949,15667,1665.7719298245613,3
62,311,53,37.20027976088362,53.411191642947266,11,random_seed_74,95178,15877,1795.811320754717,2
62,311,59,37.31574710671822,53.88068898735292,6,random_seed_75,95003,15717,1610.2203389830509,3
62,311,53,37.34345926971853,53.95698230581883,11,random_seed_76,94961,15691,1791.7169811320755,2
62,311,59,37.290014383932224,53.93644179700109,7,random_seed_77,95042,15698,1610.8813559322034,4
62,311,57,37.167948904049936,53.73690542562869,8,random_seed_78,95227,15766,1670.6491228070176,3
62,311,59,37.12836009976378,53.30262038205347,6,random_seed_79,95287,15914,1615.0338983050847,3
